Variable Name;Type;Description
ebit_mev;Float;Operating Profit after Depreciation scaled by MEV (ebit_mev)
cop_mev;Float;Cash Based Operating Profitability scaled by MEV (cop_mev)
ocf_mev;Float;Operating Cash Flow scaled by MEV (ocf_mev)
fcf_mev;Float;Free Cash Flow scaled by MEV (fcf_mev)
debt_mev;Float;Total Debt scaled by MEV (debt_mev)
pstk_mev;Float;Preferred Stock scaled by MEV (pstk_mev)
debtlt_mev;Float;Long-Term Debt scaled by MEV (debtlt_mev)
debtst_mev;Float;Short-Term Debt scaled by MEV (debtst_mev)
dltnetis_mev;Float;Net Long-Term Debt Issuance scaled by MEV (dltnetis_mev)
dstnetis_mev;Float;Net Short-Term Debt Issuance scaled by MEV (dstnetis_mev)
dbnetis_mev;Float;Net Debt Issuance scaled by MEV (dbnetis_mev)
netis_mev;Float;Net Issuance scaled by MEV (netis_mev)
fincf_mev;Float;Financial Cash Flow Change scaled by MEV (fincf_mev)
ivol_capm_60m;Float;Idiosyncratic volatility from the CAPM (60 months) (ivol_capm_60m)
beta_21d;Decimal;Market beta (21 days) (beta_21d)
